ticker,theme,bucket,current_action,entry_zone,add_trigger,first_target,bull_target,stop_or_downgrade,next_time_node,key_risk
SMTC,optical_networking,High-conviction active,Do not chase before Q1 FY2027 event,"124-135; better 102-115","Q1 FY2027 guide raise and holds post-earnings VWAP/20DMA","180-200","230-260","Inline guide or weak data-center signal","2026-05-26 after close","Event risk and valuation heat"
MTSI,optical_networking,High-conviction active,Do not chase,"330-345; better 280-305","Q3 revenue above 339M and Q4 guide strong","440-480","540-600","Q3 below 331M or gross margin guide below 59%","2026Q3 earnings","52w high and multiple risk"
MXL,copper_optical_interconnect,High-conviction active,Do not chase,"80-85; better 60-70","Optical data center revenue guide above 200M or Rushmore/Annapurna production","115-130","150-180","Optical guide down or old business drag","2026Q2-Q3","Huge rerating already happened"
VECO,optical_equipment,High-conviction active,Pullback small starter,"55-56; better 45-50","Q2 revenue above 190M or FY guide above 800M","70-75","85-95","Q2 below 170M or InP orders delay","2026Q2 earnings","InP order concentration"
POWL,power_switchgear,High-conviction active,Pullback small starter,"250-265; better 235-245","Q3 includes >400M data-center order with high-20s GM","325-360","420-480","Backlog/book-to-bill weak or GM below 27%","2026Q3 earnings","Project timing and margin normalization"
MOD,cooling,High-conviction active,Wait Q4/FY2026 event,"245-260; better 220-240","FY2027 data-center outlook strong and FCF stable","300-330","380-450","Data-center growth slows or FCF/workcap worsens","2026-05-26/27","Capacity expansion margin pressure"
FORM,hbm_probe,Selective AP/HBM,Selective pullback,"115-122; better 100-110","Q2 revenue above 245M or Q3 guide raises","150-170","190-220","Q2 not record or GM below 48%","2026Q2 earnings","HBM/probe cycle moderation"
ONTO,hbm_process_control,Selective AP/HBM,Core watch on pullback,"245-260; better 225-235","Dragonfly/Rigaku opportunities convert and guide raises","300-325","360-400","Advanced packaging demand slows or convertibles pressure","2026Q2 earnings","High quality but valuation sensitive"
CAMT,hbm_inspection,Selective AP/HBM,Wait base/pullback,"160-170; better 145-155","H2 growth above 25% and AP/AI mix stays high","190-210","240-270","China/customer concentration or H2 guide misses","2026Q2 earnings","Customer/geography concentration"
ACMR,advanced_packaging_wet,Selective AP/HBM,Do not chase,"60-64; better 52-56","Non-China AP repeat plus OCF/AR/inventory improvement","85-95","110-130","Non-China AP not repeated or cash conversion worsens","2026Q2 earnings","China/entity list/working capital"
COHU,ai_hpc_gan_test,Cold high-upside options,Small starter on pullback,"42-45; better 38-40","HPC outlook above 100M or GaN orders become multi-customer","55-60","70-80","Below 39 with weak guide","2026Q2 earnings/readthrough","AI purity lower and semi test cycle beta"
KLIC,hbm_tcb_assembly,Cold high-upside options,Do not chase,"92-98; better 80-86","Q3 revenue above 330M and TCB/HBM revenue visibility","120-130","150-165","Below 86 or TCB orders fail","2026Q3 FY2026","Legacy wirebond drag"
AEHR,ai_burn_in,Selective AP/HBM,Event only no chase,"78-85; better 68-72","FY2027 revenue guide above 150M and repeat orders","115-130","160-190","Order delays or break below 75","FY2027 guide window 2026Q3","Very high valuation and customer concentration"
POET,optical_engine_option,Cold high-upside options,Option only no chase,"10-12; better 8-9","Late-2026 samples, Malaysia ramp, PO revenue schedule","18-22","30-40","Below 10 without PO/ramp progress","2026H2 samples/ramp","Pre-scale execution and dilution"
PPSI,distributed_power_microcap,Cold high-upside options,Microcap option only,"4.2-4.6; better 3.5-3.8","PRYMUS repeat orders and cash discipline","6.5-7.5","9-12","Below 4 or no repeat orders","2026H2 PRYMUS/PowerCore","Liquidity/cash/product proof"
NEO.TO,magnets_physical_ai,Cold high-upside options,Watch/small option,"26-28 CAD; better 23-25 CAD","European PM facility 2-3 commercial programs","34-38 CAD","45-55 CAD","Below 24 CAD or Magnequench weakens","2026H2 commercial programs","Rare earth price and physical AI timing"
AIXA.DE,inp_mocvd,Cold high-upside options,Do not chase,"45-49 EUR; better 38-42 EUR","Q2/Q3 order intake stays 170M+ EUR and optoelectronics mix improves","62-68 EUR","78-90 EUR","Backlog fails to convert or GM stays weak","2026Q2-Q3","Order concentration and margin"
AXTI,inp_substrates,Cold high-upside options,Preserve but no chase,"105-115; better 80-90","InP capacity/license/Tongmei risk improves with demand intact","160-190","230-280","Below 100 after failed breakout","2026Q2-Q4","Regulatory/geopolitical and extreme repricing"
LWLG,eo_polymer_material,Cold high-upside options,Option only,"Below 10; or after foundry transfer","Named customer/tapeout/commercial contract","16-18","25-35","Foundry transfer delay or no contract","Mid-2026 validation; 2026H2 transfer","Technology/reliability/revenue proof"
ALMU,iii_v_on_silicon_option,Cold high-upside options,Early option only,"15-18; better 11-13","Commercial order beyond R&D contracts","28-32","45-60","Cash burn or no commercial order","2026H2-2027","Very early revenue and dilution risk"
IQE.L,compound_wafer_supplier,Cold high-upside options,Watch only before strategic clarity,"35-40p or strategic review clarity","AI photonics order book converts to revenue and financing risk clears","55-65p","80-100p","Strategic review fails and cash pressure rises","2026H1-H2","Balance sheet/asset sale risk"
AAON,data_center_cooling,Core anchors,Industry anchor no chase,"115-122; better 98-105","BASX backlog rises and GM returns 27-28%","155-170","190-220","Data-center backlog slows or GM pressure persists","2026Q2-Q3","Already recognized and extended"
FIX,data_center_construction,Core anchors,Industry anchor no chase,"1600-1700; better 1350-1500","Backlog and data-center margins continue rising","2050-2250","2500-2800","Backlog peaks or project margin rolls over","2026Q2-Q3","Large-cap valuation and project cycle"
