ticker,date,source,source_url,source_type,reliability_score,event_window,layer,criterion_id,criterion,threshold,status_pre_event,notes
SMTC,2026-05-25,official Semtech FY2026 Q4 guide,https://www.semtech.com/company/press/announces-fourth-quarter-of-fiscal-year-2026-results,official_guidance,0.95,2026-05-26 Q1 FY2027,Layer1_Fundamental,L1_REV,Revenue/guide beat,Revenue >$288M vs official Q1 FY2027 guide $283M +/- $5M,pending,当晚判断
SMTC,2026-05-25,official Semtech FY2026 Q4 guide,https://www.semtech.com/company/press/announces-fourth-quarter-of-fiscal-year-2026-results,official_guidance,0.95,2026-05-26 Q1 FY2027,Layer1_Fundamental,L1_GM,Gross margin threshold,Adjusted GM >=52.8%; caution 52.3%-52.8%; fail <52.3% unless temporary,pending,31.5% placeholder rejected; use official Semtech adjusted GM guide
SMTC,2026-05-25,official Semtech FY2026 Q4 guide,https://www.semtech.com/company/press/announces-fourth-quarter-of-fiscal-year-2026-results,official_guidance,0.90,2026-05-26 Q1 FY2027,Layer1_Fundamental,L1_ORDER,Backlog/order/bookings signal,1.6T/3.2T or Signal Integrity order language stronger; if no backlog disclosure then require stronger Q2 guide,pending,订单或 backlog 必须来自公开披露
SMTC,2026-05-25,official Semtech FY2026 Q4 guide,https://www.semtech.com/company/press/announces-fourth-quarter-of-fiscal-year-2026-results,official_guidance,0.90,2026-05-26 Q1 FY2027,Layer1_Fundamental,L1_AI_LANG,AI/data-center language improves,Specific 800G/1.6T/3.2T optical or copper interconnect language stronger than prior quarter,pending,只作为第一层一项
SMTC,2026-05-25,official Semtech call date,https://www.semtech.com/company/press/semtech-announces-first-quarter-of-fiscal-year-2027-conference-call,official_event_notice,0.95,2026-05-26 Q1 FY2027,Layer2_Management,L2_NQ_GUIDE,Next-quarter guide upside,Q2 guide raised vs prior public outlook or clearly stronger than prior implied run-rate; no fixed percent,pending,call 后判断
SMTC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026-05-26 Q1 FY2027,Layer2_Management,L2_FY_GUIDE,FY guide raise,FY guide raised or explicit growth acceleration; no fixed percent,pending,call 后判断
SMTC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026-05-26 Q1 FY2027,Layer2_Management,L2_SPECIFIC,Specific product/customer/capacity/delivery details,Named or clearly specific product/order/capacity detail,pending,不能只是泛泛说 demand strong
SMTC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026-05-26 Q1 FY2027,Layer2_Management,L2_MARGIN_EXPLAIN,Margin explanation quality,No structural price/mix deterioration; temporary capacity cost may justify waiting for next quarter; no mechanical add,pending,若说明结构性成本压力则不加仓
SMTC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026-05-26 Q1 FY2027,Layer3_Market,L3_VWAP,Post-earnings VWAP/20DMA,Hold VWAP/20DMA over 5-20 trading days,pending,只影响节奏
SMTC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026-05-26 Q1 FY2027,Layer3_Market,L3_ANALYST,Analyst revisions,Upgrades or estimate raises > downgrades,pending,只影响节奏
SMTC,2026-05-25,official guide/checklist model,research_ai_supply_chain/source_log.md,derived_from_official_guidance,0.80,2026-05-26 Q1 FY2027,Layer3_Market,L3_PEERS,Peer confirmation,Same theme peers confirm within 20 trading days,pending,只影响节奏
MOD,2026-05-25,official Modine Q3 FY2026 results,https://investors.modine.com/news/news-details/2026/Modine-Reports-Third-Quarter-Fiscal-2026-Results/default.aspx,official_results,0.95,2026-05-26/27 Q4 FY2026,Layer1_Fundamental,L1_REV,Revenue/guide beat,FY2027 data-center outlook >=50% growth or Q4 data-center growth remains >=50% YoY,pending,当晚判断
MOD,2026-05-25,official Modine Q3 FY2026 results,https://investors.modine.com/news/news-details/2026/Modine-Reports-Third-Quarter-Fiscal-2026-Results/default.aspx,official_results,0.95,2026-05-26/27 Q4 FY2026,Layer1_Fundamental,L1_GM,Gross margin threshold,Climate Solutions GM not below latest 24.8% baseline by >100bp unless temporary expansion cost,pending,Do not use 29.5% unless company reports comparable metric
MOD,2026-05-25,official Modine Q3 FY2026 results,https://investors.modine.com/news/news-details/2026/Modine-Reports-Third-Quarter-Fiscal-2026-Results/default.aspx,official_results,0.90,2026-05-26/27 Q4 FY2026,Layer1_Fundamental,L1_ORDER,Backlog/order/bookings signal,Data-center backlog/order commentary stronger and capacity expansion demand still constrained,pending,订单或 backlog 必须来自公开披露
MOD,2026-05-25,official Modine Q3 FY2026 results,https://investors.modine.com/news/news-details/2026/Modine-Reports-Third-Quarter-Fiscal-2026-Results/default.aspx,official_results,0.90,2026-05-26/27 Q4 FY2026,Layer1_Fundamental,L1_AI_LANG,AI/data-center language improves,Specific hyperscale/data-center capacity language stronger than Q3,pending,只作为第一层一项
