ticker,company,layer,market_cap_usd_approx,price_date,last_close_usd,cap_bucket,thesis_type,evidence_level,timing,risk_level,next_validation
POET,POET Technologies,光引擎/wafer-level photonic integration,2518167040,2026-05-22,14.59,mid-small,二级卡点/高弹性,中,2026H2-2027,高,"Lumilens 5000万美元初始PO兑现; engineering samples late 2026; 2027 production ramp; Malaysia量产良率"
ALMU,Aeluma,III-V on silicon/量子点激光/材料平台,414432800,2026-05-22,22.64,micro,早期材料期权,低,2027+,极高,"300mm InP-on-Si/量子点激光客户验证; 商业订单; 非政府收入"
LWLG,Lightwave Logic,EO聚合物调制器/PDK,1979923328,2026-05-22,12.85,mid-small,新材料期权,中低,2026H2-2027,高,"高产量foundry转移; Tower/SilTerra/GF PDK tape-out; 可靠性和收入合同"
VECO,Veeco Instruments,InP激光制造设备/IBD/MOCVD/wet processing,3634543872,2026-05-22,59.55,mid-small,二阶设备卡点,高,2026-2027,中,"2.5亿美元InP laser equipment订单交付; 2027收入确认; Spector IBD产能扩张"
AEHR,Aehr Test Systems,硅光/AI芯片burn-in与可靠性测试,2988688128,2026-05-22,95.02,mid-small,测试卡点/良率卖铲人,中高,2026-2027,中高,"silicon photonics客户后续订单; Sonoma AI processor burn-in订单; FY2027 backlog"
COHU,Cohu,GaN/AI处理器/功率器件测试,2195068928,2026-05-22,46.53,mid-small,测试设备/功率链条,中,2026-2027,中,"GaN power devices for AI data centers订单规模; HPC processor test二次订单收入"
AXTI,AXT,InP/GaAs/Ge基底,9213547520,2026-05-22,140.83,re-rated,材料卡点已明牌,高,当前-2027,中高,"InP出口许可; Tongmei STAR IPO/融资; 6英寸InP量产; 毛利恢复"
AAOI,Applied Optoelectronics,800G/1.6T光模块,14563260416,2026-05-22,181.49,re-rated,模块放量已明牌,高,当前-2026,中,"1.6T hyperscaler订单交付; 月产能50万只目标; 客户集中与毛利"
LITE,Lumentum,EML/UHP laser/OCS/CPO,73668820992,2026-05-22,946.90,large,光源龙头/锚定票,高,当前-2027,中,"200G EML/UHP laser供需; OCS/CPO导入; AI datacom收入占比"
COHR,Coherent,垂直光子平台/InP/CPO/模块,73867542528,2026-05-22,377.57,large,光子平台龙头/锚定票,高,当前-2027,中,"6英寸InP与CPO demo转订单; AI datacenter收入增速"
SMTC,Semtech,FiberEdge PMD/TIA/VCSEL driver,14598492160,2026-05-22,156.78,re-rated,PMD模拟前端卡点,中高,当前-2027,中,"200G/channel TIA/VCSEL driver客户采用; POET/Semtech engine拉动"
MXL,MaxLinear,1.6T DSP/TIA/AEC DSP,8879377408,2026-05-22,99.16,re-rated,低功耗DSP转型,中,2026-2027,中高,"Rushmore 1.6T DSP量产客户; Washington 200G TIA采纳; 转型收入"
MTSI,MACOM,drivers/TIA/laser/control ICs,29448644608,2026-05-22,385.98,large,高端模拟/光电芯片,中高,2026-2027,中,"448G per lane drivers; 3.2T平台客户; 光/铜连接份额"
VIAV,VIAVI,光通信测试/网络验证,12213405696,2026-05-22,49.51,re-rated,测试平台,中,2026-2027,中,"1.6T/3.2T制造测试订单; 光模块厂扩产周期"
POWL,Powell Industries,数据中心开关柜/电力分配/behind-the-meter,10172444672,2026-05-22,279.22,re-rated,电力交付卡点,高,当前-2027,中,"4亿美元+数据中心订单交付; backlog转收入; 毛利维持"
PPSI,Pioneer Power,移动分布式电源/PRYMUS,57811548,2026-05-22,5.21,micro,极小票电力期权,中低,2026H2,极高,"PRYMUS 600万美元订单交付; 1-10MW平台复购; 现金流与融资"
MOD,Modine,数据中心液冷/热管理,13737530368,2026-05-22,260.52,re-rated,散热链条已明牌,高,当前-2028,中,"数据中心销售50%-70% CAGR; 产能扩张; 液冷毛利"
VRT,Vertiv,数据中心电力/液冷系统,125780262912,2026-05-22,327.46,mega,基础设施龙头/锚定票,高,当前-2028,中,"organic orders/backlog; 液冷并购整合; AI capex节奏"
NVT,nVent,电气连接/机柜/热管理,26628888576,2026-05-22,164.66,large,基础设施跟随,中,当前-2027,中,"数据中心订单和收购协同; 电气系统毛利"
CRDO,Credo,AEC/retimer/SerDes/光DSP,40285712384,2026-05-22,218.41,large,连接芯片已明牌,高,当前-2027,中,"AEC客户集中; 光DSP; 毛利与竞争"
ALAB,Astera Labs,PCIe/CXL/retimer/connectivity,52601667584,2026-05-22,306.88,large,连接芯片已明牌,高,当前-2027,中,"CXL/PCIe attach; hyperscaler customer concentration; 估值"
FN,Fabrinet,光通信/硅光代工制造,25219121152,2026-05-22,703.86,large,制造平台/锚定票,高,当前-2027,中,"800G/1.6T制造收入; 客户集中; 毛利稳定"
MP,MP Materials,稀土/磁材垂直整合,11475310592,2026-05-22,64.46,re-rated,磁材战略卡点,中高,2026-2028,中高,"10X磁材园区建设; offtake/政府支持; NdPr价格与中国政策"
MTRN,Materion,特种材料/光学涂层/电子材料,4473150976,2026-05-22,215.04,mid-small,材料跟随/非纯AI,中,2026-2027,中,"半导体/数据中心材料收入; 光学涂层与热材料订单"
