ticker,date,source,source_url,source_type,reliability_score,tier,confidence_band,model_type,included_in_v3,reason,do_not_do
POWL,2026-05-25,official filings and guidance,research_ai_supply_chain/source_log.md,official_compilation,0.85,Tier 1,85%+,driver bear/base/bull with numeric target,YES,"Public revenue, margin, orders/backlog or guidance sufficient for direct model",Do not invent precise market share
MOD,2026-05-25,official filings and guidance,research_ai_supply_chain/source_log.md,official_compilation,0.85,Tier 1,85%+,driver bear/base/bull with numeric target,YES,"Public revenue, margin, orders/backlog or guidance sufficient for direct model",Do not invent precise market share
AAON,2026-05-25,official filings and guidance,research_ai_supply_chain/source_log.md,official_compilation,0.85,Tier 1,85%+,driver bear/base/bull with numeric target,YES,"Public revenue, margin, orders/backlog or guidance sufficient for direct model",Do not invent precise market share
SMTC,2026-05-25,official filings and guidance,research_ai_supply_chain/source_log.md,official_compilation,0.85,Tier 1,85%+,driver bear/base/bull with numeric target,YES,"Public revenue, margin, orders/backlog or guidance sufficient for direct model",Do not invent precise market share
MTSI,2026-05-25,official filings and guidance,research_ai_supply_chain/source_log.md,official_compilation,0.85,Tier 1,85%+,driver bear/base/bull with numeric target,YES,"Public revenue, margin, orders/backlog or guidance sufficient for direct model",Do not invent precise market share
COHU,2026-05-25,official filings and guidance,research_ai_supply_chain/source_log.md,official_compilation,0.85,Tier 1,85%+,driver bear/base/bull with numeric target,YES,"Public revenue, margin, orders/backlog or guidance sufficient for direct model",Do not invent precise market share
FORM,2026-05-25,official filings plus proxy assumptions,research_ai_supply_chain/source_log.md,official_plus_proxy,0.70,Tier 2,65%-80%,driver scenarios with target range and error band,YES,Public orders and guide exist but customer share/order allocation needs proxy,Do not treat inferred customer transfer as fact
ONTO,2026-05-25,official filings plus proxy assumptions,research_ai_supply_chain/source_log.md,official_plus_proxy,0.70,Tier 2,65%-80%,driver scenarios with target range and error band,YES,Public orders and guide exist but customer share/order allocation needs proxy,Do not treat inferred customer transfer as fact
CAMT,2026-05-25,official filings plus proxy assumptions,research_ai_supply_chain/source_log.md,official_plus_proxy,0.70,Tier 2,65%-80%,driver scenarios with target range and error band,YES,Public orders and guide exist but customer share/order allocation needs proxy,Do not treat inferred customer transfer as fact
VECO,2026-05-25,official filings plus proxy assumptions,research_ai_supply_chain/source_log.md,official_plus_proxy,0.70,Tier 2,65%-80%,driver scenarios with target range and error band,YES,Public orders and guide exist but customer share/order allocation needs proxy,Do not treat inferred customer transfer as fact
KLIC,2026-05-25,official filings plus proxy assumptions,research_ai_supply_chain/source_log.md,official_plus_proxy,0.70,Tier 2,65%-80%,driver scenarios with target range and error band,YES,Public orders and guide exist but customer share/order allocation needs proxy,Do not treat inferred customer transfer as fact
AEHR,2026-05-25,official filings plus proxy assumptions,research_ai_supply_chain/source_log.md,official_plus_proxy,0.70,Tier 2,65%-80%,driver scenarios with target range and error band,YES,Public orders and guide exist but customer share/order allocation needs proxy,Do not treat inferred customer transfer as fact
POET,2026-05-25,official milestones and balance sheet disclosures,research_ai_supply_chain/source_log.md,official_milestone,0.55,Tier 3,<60%,milestone option framework only,YES,Revenue path too uncertain for DCF; use survival and milestone probability,No DCF and no precise 2026 revenue forecast
LWLG,2026-05-25,official milestones and balance sheet disclosures,research_ai_supply_chain/source_log.md,official_milestone,0.55,Tier 3,<60%,milestone option framework only,YES,Revenue path too uncertain for DCF; use survival and milestone probability,No DCF and no precise 2026 revenue forecast
ALMU,2026-05-25,official milestones and balance sheet disclosures,research_ai_supply_chain/source_log.md,official_milestone,0.55,Tier 3,<60%,milestone option framework only,YES,Revenue path too uncertain for DCF; use survival and milestone probability,No DCF and no precise 2026 revenue forecast
PPSI,2026-05-25,official milestones and balance sheet disclosures,research_ai_supply_chain/source_log.md,official_milestone,0.55,Tier 3,<60%,milestone option framework only,YES,Revenue path too uncertain for DCF; use survival and milestone probability,No DCF and no precise 2026 revenue forecast
NEO.TO,2026-05-25,official milestones and balance sheet disclosures,research_ai_supply_chain/source_log.md,official_milestone,0.55,Tier 3,<60%,milestone option framework only,YES,Revenue path too uncertain for DCF; use survival and milestone probability,No DCF and no precise 2026 revenue forecast
IQE.L,2026-05-25,official milestones and balance sheet disclosures,research_ai_supply_chain/source_log.md,official_milestone,0.55,Tier 3,<60%,milestone option framework only,YES,Revenue path too uncertain for DCF; use survival and milestone probability,No DCF and no precise 2026 revenue forecast
