ticker,company,theme,why_preserved,not_deleted_because,current_bucket,pilot_entry_condition,upgrade_to_active_condition,demote_to_watch_condition,max_position_units_in_AI_sleeve,key_risk,next_research_task
POET,POET Technologies,optical_engine_photonics,"Wafer-level optical engines could be a non-linear winner if 1.6T/CPO/NPO production ramps","Small cap with platform upside; potential customer PO inflection","Cold high-upside option","$10-$12 or production PO confirmation","Lumilens/EOI production PO, Malaysia yield proof, 2027 revenue bridge","PO slips 2 quarters, financing dilution, no revenue conversion","0.75 before revenue; 2.0 after PO proof","Execution/financing/customer concentration","Deep dive Lumilens PO, manufacturing partner, cash runway"
LWLG,Lightwave Logic,EO_polymer_modulators,"EO polymer could become a material bottleneck if foundry PDK and reliability validate","Material discontinuity option; payoff asymmetric","Cold high-upside option","Pullback plus foundry/PDK update","Named commercial contract, reliability data, foundry transfer complete","No commercial contract, repeated timeline slips, cash runway pressure","0.5 before contract; 1.5 after contract","Pre-revenue, reliability, foundry adoption","Map PDK partners, reliability milestones, cash burn"
ALMU,Aeluma,III_V_on_silicon_quantum_dot_lasers,"300mm III-V-on-silicon/laser material platform could be early hidden layer","Microcap platform optionality; too early to delete","Cold high-upside option","Only on pullback or customer validation","Commercial non-government order, recurring customer revenue","Only grants/prototypes, no commercial revenue, dilution","0.5 before revenue; 1.5 after revenue","Very early stage, liquidity, dilution","Build milestone timeline and customer validation map"
PPSI,Pioneer Power,distributed_power_microgrid,"PRYMUS/mobile power could catch AI edge/data-center power shortages","Tiny market cap and repeat-order optionality","Cold high-upside option","$4.2-$4.6 or repeat order proof","PRYMUS repeat orders beyond initial $6M and margin/cash proof","No repeat orders, cash burn, financing pressure","0.5 before repeat; 1.5 after repeat","Microcap liquidity and product-market proof","Track PRYMUS deliveries, backlog, cash conversion"
NEO.TO,Neo Performance Materials,rare_earth_magnets,"Magnequench/bonded magnets and European magnet facility are physical AI/robotics optionality","Best small public magnet candidate in current pool","Cold high-upside option","C$26-C$28 or C$23-C$25 pullback","Magnequench EBITDA improves, customer contracts for PM facility, Dy/Tb separation progress","Rare-earth price turns, facility delay, debt/liquidity pressure","1.0 before contracts; 2.0 after contracts","Commodity cycle and physical AI timing","Deep dive magnet contracts and facility economics"
IQE.L,IQE,compound_semiconductor_epitaxy,"III-V epi for datacom/photonic devices could be hidden upstream layer","Europe/UK small-cap compound semi lever","Cold high-upside option","Only after balance sheet and order visibility improve","Datacom photonics orders, cash runway secured, customer concentration improves","Balance sheet worsens, no AI/datacom orders","0.5 before proof; 1.5 after proof","Balance sheet and customer concentration","First DD on epi capacity, customers, cash runway"
AXTI,AXT,InP_GaAs_substrates,"InP substrate bottleneck is real even though price has repriced","Material layer remains strategic; do not delete despite overextension","Cold option / pullback only","$105-$115 first reset; $80-$90 better","InP license/Tongmei risk improves and volume revenue confirms","Export/geopolitics worsen or InP volume disappoints","1.0 after pullback; 2.0 after risk clears","Geopolitics, export license, extreme re-rating","Re-rating risk review and license/Tongmei map"
AIXA.DE,AIXTRON,MOCVD_compound_semi_equipment,"MOCVD for InP/GaAs lasers is upstream optical bottleneck","European equipment lever not fully covered in US-only screen","Cold-to-active candidate","Pullback or AI datacom backlog disclosure","Named/datacom-related orders and 2026-2027 revenue visibility","Orders remain broad compound semi, no AI optical split","1.0 before proof; 2.5 after proof","Cycle and customer concentration","First DD on InP laser/MOCVD backlog"
COHU,Cohu,AI_HPC_GaN_test,"AI processor and GaN power test can be overlooked second-order test bottleneck","Lower market understanding than CAMT/ONTO","Cold-to-active candidate","$42-$45 or AI/GaN repeat order","HPC FY outlook >$100M, GaN/data-center repeat orders, margin expansion","Orders one-off, test cycle rolls over","1.0 starter; 2.5 after repeat orders","AI purity and semi test cycle beta","Decision-grade DD update"
KLIC,Kulicke & Soffa,advanced_packaging_TCB,"TCB/FTC/HBM assembly could re-rate if legacy drag fades","Market may under-recognize AP transition; not deleted","Cold-to-active candidate","$92-$98 or $80-$86 deeper reset","FTC/HBM order proof and guide raise","Traditional business drags and AP orders fail","1.0 starter; 2.5 after guide raise","Legacy cycle, competition BESI/ASMPT","DD refresh versus BESI/ASMPT"
