region,ticker,company,layer,bottleneck_role,evidence_level,market_understanding,priority,next_validation
China A,300308.SZ,Zhongji Innolight,Optical modules,800G/1.6T AI data-center optical transceivers,High,High,Anchor,"1.6T revenue mix; overseas customer concentration; gross margin; export/geopolitical risk"
China A,300502.SZ,Eoptolink,Optical modules/NPO,1.6T DR4/FRO/LRO/LPO and 6.4T NPO/12.8T XPO demos,High,High,Anchor,"1.6T mass production orders; NPO/XPO customer validation; Hong Kong listing progress"
China A,300394.SZ,Suzhou TFC,Optical passive components,Optical components/passives for 800G/1.6T modules,Medium-High,High,B+,"Passive component ASP/mix; overseas data-center customer exposure; margin sustainability"
China A,002281.SZ,Accelink,Optical modules/components,Optical transceivers and components for data center/telecom,Medium,Medium,B,"AI data-center revenue mix; 800G/1.6T product traction; telecom vs datacom split"
China A,300570.SZ,T&S Communications,Fiber components,Optical fiber interconnect components and MPO/MTP/connector assemblies,Medium,Medium,B,"AI data center connector/cable exposure; overseas customer mix"
China A,002463.SZ,WUS Printed Circuit,PCB/substrate,High-speed PCB for AI servers/optical modules,Medium-High,High,B+,"AI server PCB mix; GB/Rubin platform exposure; margin and capacity"
China A,002384.SZ,Dongshan Precision,PCB/precision components,High-speed PCB/FPC and precision manufacturing for AI hardware,Medium,High,B,"AI server and optical module PCB mix; customer concentration"
China A,600183.SS,Shengyi Technology,CCL/materials,High-speed copper-clad laminate for AI server/PCB,Medium-High,High,B+,"High-speed CCL revenue; low-loss material ASP; customer/platform exposure"
China A,002156.SZ,Tongfu Microelectronics,OSAT/advanced packaging,Chip packaging/test exposure including HPC/AI processors,Medium,Medium,B,"Advanced packaging revenue; AMD/HPC customer exposure; capex and margins"
China A,300604.SZ,Hangzhou Changchuan,Semiconductor test equipment,ATE/test equipment for semiconductors and advanced packaging,Medium,Medium,B,"AI/HBM/advanced packaging test orders; non-memory exposure"
China A,688072.SS,Piotech,Deposition equipment,Thin-film deposition/CVD/ALD related China semi equipment,Medium,Medium,B,"Advanced packaging/AI-related deposition orders; China capex cycle"
Taiwan,3017.TW,Asia Vital Components,Liquid cooling/thermal,Cold plates/fans/thermal modules for AI servers,High,High,Anchor,"Liquid cooling revenue mix; GB300/Rubin exposure; customer concentration"
Taiwan,3324.TWO,Auras Technology,Thermal modules/liquid cooling,AI server thermal modules and liquid-cooling components,Medium-High,Medium,A-,"Thailand capacity ramp; GB300 component orders; customer mix"
Taiwan,2308.TW,Delta Electronics,Power/cooling/HVDC,800VDC AI factory power, CDU, microgrid, power systems,High,High,Anchor,"NVIDIA 800VDC ecosystem wins; CDU shipments; data-center infrastructure revenue"
Taiwan,2360.TW,Chroma ATE,Power testing/ATE,HVDC/AI server power testing and photonics/semiconductor test,High,Medium,A-,"AI server power test revenue; photonics test; major cloud/power customer demand"
Taiwan,6669.TW,Wiwynn,AI servers,System integration for hyperscale AI servers,High,High,Anchor,"GB/Rubin server shipments; margin; hyperscaler concentration"
Taiwan,2382.TW,Quanta Computer,AI servers,System integration, racks, AI server manufacturing,High,High,Anchor,"AI server revenue mix; rack-scale system shipments; margin"
Taiwan,2356.TW,Inventec,AI servers/System integration,AI server manufacturing and systems,Medium,Medium,B,"AI server mix; customer wins; margin"
Taiwan,3231.TW,Wistron,AI servers/System integration,AI server and rack manufacturing,High,High,B+,"AI server shipment growth; GB/Rubin ramp; capex"
Taiwan,3711.TW,ASE Technology,OSAT/advanced packaging,Advanced packaging/test and AI packaging overflow,High,Medium,B+,"CoWoS/FOCoS/VIPack capacity; advanced test revenue"
Taiwan,8299.TWO,Phison,SSD controllers/enterprise SSD,Enterprise SSD controllers and AI/edge storage,Medium,Medium,B,"Enterprise SSD controller wins; Pascari/aiDAPTIV traction; NAND cycle"
Taiwan,2327.TW,Yageo,Passive components,MLCC/resistors/passives for AI servers and power,Medium,Medium,B,"AI server passive component demand; high-end MLCC ASP"
Taiwan,2317.TW,Foxconn/Hon Hai,AI servers/System integration,AI factory/server/rack assembly and manufacturing scale,High,High,Anchor,"AI server revenue; NVIDIA/GB system exposure; margin"
Taiwan,4938.TW,Pegatron,AI servers/System integration,Server/system assembly candidate,Medium,Medium,B,"AI server wins; margin; customer mix"
Japan,6324.T,Harmonic Drive Systems,Robotics reducer,Strain-wave reducers for humanoid/precision robotics,Medium,Medium,B+,"Humanoid OEM design-ins; capacity; China competition"
Japan,6268.T,Nabtesco,Precision reducers,RV/cycloidal precision reduction gears for heavy joints/robots,Medium,Low,B+,"Humanoid/cobot demand; precision reduction gear orders; industrial robot recovery"
Japan,6471.T,NSK,Bearings/linear motion,Bearings/precision motion for robotics and industrial automation,Medium,Medium,B,"Robotics/automation order recovery; humanoid component exposure"
Japan,6594.T,Nidec,Precision motors/actuators,High-efficiency motors and motion components,Medium,Medium,B,"Robotics/AI infrastructure motor exposure; margin recovery"
Japan,6762.T,TDK,Sensors/magnets/batteries,IMU/ToF/magnetic sensors/magnetics for physical AI,High,High,Anchor,"Robotics sensor platform; magnetic components; battery cycle"
Japan,6473.T,JTEKT,Bearings/drive/steering,Precision bearings and motion components,Medium,Medium,B,"Robotics/automation exposure; automotive cycle"
Japan,6103.T,Okuma,Machine tools,Precision machine tools for component manufacturing,Medium,Low,B,"AI hardware/robotics capex; machine tool order cycle"
Japan,6861.T,Keyence,Factory automation/sensors,Machine vision/sensors for automated manufacturing,High,High,Anchor,"Factory automation recovery; AI hardware manufacturing capex"
Europe,BESI.AS,BE Semiconductor,Hybrid bonding/die attach,Hybrid bonding/TCB for HBM4/3D packaging,High,High,Anchor,"HBM4/hybrid bonding orders; TCB backlog; smartphone cycle"
Europe,AIXA.DE,AIXTRON,MOCVD/compound semi equipment,InP/GaAs laser and power device epitaxy equipment,High,Medium,A-,"InP laser equipment orders; AI optical source capex"
Europe,IQE.L,IQE,Compound semiconductor epitaxy,III-V epi wafers for lasers/VCSEL/InP/GaAs,Medium,Low,Spec,"Datacom photonics orders; balance sheet; customer concentration"
Europe,IFX.DE,Infineon,Power semiconductors,Power devices for data-center power architecture,High,High,Anchor,"AI data center power revenue; GaN/SiC adoption; margins"
Europe,SU.PA,Schneider Electric,Electrical infrastructure,Data-center power distribution, switchgear, cooling,High,High,Anchor,"Data-center orders/backlog; AI power architecture"
Europe,ABBN.SW,ABB,Grid/electrical infrastructure,Electrification, switchgear, transformers, data-center power,High,High,Anchor,"Data center order growth; electrification backlog"
Canada,HPS-A.TO,Hammond Power Solutions,Transformers/power quality,Dry-type transformers and custom data-center power products,High,Medium,A,"Backlog quality; data-center mix; gross margin"
Canada,NEO.TO,Neo Performance Materials,Magnets/rare earths,Magnequench bonded magnets and European PM facility,Medium-High,Low,A-,"Commercial PM projects; Magnequench EBITDA; Dy/Tb separation"
