node_date,trade_date,node_id,theme,node_type,trigger,source_url,thesis,basket_ret_20d_%,xQQQ_20d_%,xSMH_20d_%,actual_days_20d,used_count_20d,used_tickers_20d,basket_ret_60d_%,xQQQ_60d_%,xSMH_60d_%,actual_days_60d,used_count_60d,used_tickers_60d,basket_ret_120d_%,xQQQ_120d_%,xSMH_120d_%,actual_days_120d,used_count_120d,used_tickers_120d,basket_ret_252d_%,xQQQ_252d_%,xSMH_252d_%,actual_days_252d,used_count_252d,used_tickers_252d
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,https://openai.com/index/chatgpt/,"If generative AI becomes real workload, compute first, then packaging/networking/power/storage bottlenecks should follow",-1.83,2.98,2.53,20,17,NVDA|AMD|AVGO|MRVL|CAMT|ONTO|FORM|LITE|COHR|AAOI|VRT|ETN|POWL|MOD|MU|WDC|STX,21.3,16.42,8.92,60,17,NVDA|AMD|AVGO|MRVL|CAMT|ONTO|FORM|LITE|COHR|AAOI|VRT|ETN|POWL|MOD|MU|WDC|STX,25.01,6.34,3.57,120,17,NVDA|AMD|AVGO|MRVL|CAMT|ONTO|FORM|LITE|COHR|AAOI|VRT|ETN|POWL|MOD|MU|WDC|STX,128.56,88.64,77.28,252,17,NVDA|AMD|AVGO|MRVL|CAMT|ONTO|FORM|LITE|COHR|AAOI|VRT|ETN|POWL|MOD|MU|WDC|STX
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,advanced_packaging_hbm,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated computing and generative AI demand surge,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2024/,"When GPUs become bottleneck, HBM, CoWoS-like packaging, inspection and probe capacity should re-rate next",13.22,4.32,0.83,20,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR,25.33,16.02,10.27,60,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR,39.07,23.16,16.36,120,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR,89.36,51.07,2.17,252,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,optical_networking,earnings_shock,NVIDIA Q1 FY2024 guide shock: data center acceleration requires networking,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2024/,More AI clusters increase east-west traffic and should pull optical/networking suppliers after GPU leaders,34.22,25.32,21.84,20,9,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL,103.75,94.44,88.69,60,9,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL,84.2,68.28,61.48,120,9,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL,130.85,92.56,43.65,252,9,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,power_cooling,earnings_shock,NVIDIA Q1 FY2024 guide shock: accelerated data centers need more power and cooling,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2024/,"GPU deployment should migrate bottlenecks into power delivery, switchgear, thermal and data-center infrastructure",20.88,11.98,8.49,20,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR,47.98,38.67,32.92,60,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR,62.77,46.85,40.05,120,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR,217.21,178.91,130.01,252,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR
2023-05-24,2023-05-24,nvda_q1_fy24_compute_shock,storage_memory,earnings_shock,NVIDIA Q1 FY2024 guide shock: AI data pipelines and HBM cycle start to matter,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2024/,"AI should eventually pull HBM and high-capacity storage, but timing may lag GPU demand",-1.06,-9.96,-13.44,20,3,MU|WDC|STX,3.38,-5.93,-11.68,60,3,MU|WDC|STX,20.3,4.39,-2.41,120,3,MU|WDC|STX,84.04,45.75,-3.16,252,3,MU|WDC|STX
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,advanced_packaging_hbm,earnings_confirmation,NVIDIA Q2 FY2024 revenue +88% QoQ confirmed AI supply ramp,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-Second-Quarter-Fiscal-2024/default.aspx,Second confirmation should reward upstream bottleneck suppliers with real order conversion,2.59,3.96,8.45,20,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR,7.52,1.15,-0.69,60,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR,22.55,2.85,-14.23,120,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR,34.65,1.65,-32.46,252,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,optical_networking,earnings_confirmation,NVIDIA Q2 FY2024 confirmed large-scale AI data center demand,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-Second-Quarter-Fiscal-2024/default.aspx,Networking and optical should begin to price higher AI cluster density,-11.55,-10.17,-5.68,20,9,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL,-8.67,-15.04,-16.89,60,9,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL,19.91,0.21,-16.87,120,9,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL,38.93,5.92,-28.19,252,9,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL
2023-08-23,2023-08-23,nvda_q2_fy24_supply_confirmation,power_cooling,earnings_confirmation,NVIDIA Q2 FY2024 confirmed sustained AI infrastructure buildout,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-Second-Quarter-Fiscal-2024/default.aspx,Power/cooling cycle should keep compounding if AI capex becomes multi-quarter,-1.89,-0.52,3.97,20,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR,5.15,-1.21,-3.06,60,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR,47.49,27.8,10.71,120,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR,83.48,50.47,16.36,252,7,VRT|ETN|POWL|MOD|NVT|ECL|PWR
2024-03-18,2024-03-18,blackwell_gtc_2024,advanced_packaging_hbm,architecture_shift,NVIDIA Blackwell introduces larger rack-scale AI systems and more packaging/memory complexity,https://nvidianews.nvidia.com/news/nvidia-blackwell-platform-arrives-to-power-a-new-era-of-computing,Blackwell should deepen packaging/HBM/test bottlenecks,1.64,2.16,1.03,20,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR,16.66,7.24,-4.11,60,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR,-10.52,-15.55,-11.44,120,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR,-21.41,-32.51,-26.1,252,7,CAMT|ONTO|FORM|KLIC|AMKR|ACMR|AEHR
2024-03-18,2024-03-18,blackwell_gtc_2024,optical_networking,architecture_shift,NVIDIA Blackwell/rack-scale systems intensify cluster interconnect demands,https://nvidianews.nvidia.com/news/nvidia-blackwell-platform-arrives-to-power-a-new-era-of-computing,"Rack-scale AI should increase value of optical, Ethernet, SerDes and test suppliers",1.84,2.36,1.23,20,10,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL|CRDO,13.52,4.1,-7.26,60,10,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL|CRDO,15.08,10.04,14.15,120,10,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL|CRDO,46.63,35.53,41.94,252,10,LITE|COHR|AAOI|FN|SMTC|MTSI|VIAV|AVGO|MRVL|CRDO
