event_date,ticker,event_type,event_name,source_url
2026-02-13,CAMT,order,"$25M Hawk order from tier-1 IDM for HBM/chiplet/hybrid bonding AI applications","https://www.camtek.com/news-and-events/camtek-receives-multiple-hawk-systems-order-of-approximately-25-million-from-an-idm-for-ai-applications/"
2026-03-30,CAMT,order,"$31M multi-system advanced packaging order from leading OSAT","https://www.camtek.com/news-and-events/camtek-receives-31-million-multi-system-order-from-a-leading-osat/"
2026-05-12,CAMT,earnings,"Q1 2026 results; H2 revenue expected >25% above H1","https://www.prnewswire.com/news-releases/camtek-announces-results-for-the-first-quarter-of-2026-302769389.html"
2026-03-16,ONTO,product_order,"Dragonfly G5 selected by leading HBM manufacturer; double-digit orders","https://investors.ontoinnovation.com/news/news-details/2026/Onto-Innovation-Launches-Dragonfly-G5-Inspection-System/default.aspx"
2026-05-05,ONTO,earnings,"Q1 2026 results; Q2 revenue guide $320M-$330M","https://investors.ontoinnovation.com/news/news-details/2026/Onto-Innovation-Reports-2026-First-Quarter-Results/default.aspx"
2026-04-29,FORM,earnings,"Q1 2026 record revenue; DRAM/HBM probe card demand","https://investors.formfactor.com/news-releases/news-release-details/formfactor-inc-reports-2026-first-quarter-results/"
2026-03-16,MXL,product,"Annapurna 224G scale-up retimer for AI data centers","https://www.maxlinear.com/news/press-releases/2026/maxlinear-unveils-annapurna-224g-scale-up-retimer-to-extend-copper-connectivity-in-ai-data-centers"
2026-04-23,MXL,earnings,"Q1 2026 results; optical data center revenue outlook raised to $150M-$170M","https://www.fool.com/earnings/call-transcripts/2026/04/23/maxlinear-mxl-q1-2026-earnings-transcript/"
2026-05-05,MXL,product,"Washington 200G TIA for next-gen AI data center connectivity","https://investors.maxlinear.com/press-releases/detail/608/maxlinear-announces-availability-of-washington-200g-tia-for"
2025-09-29,SMTC,product,"FiberEdge 200G VCSEL driver and TIA for 1.6T AI infrastructure","https://www.semtech.com/company/press/semtech-advances-1.6t-multimode-innovation-for-ai-infrastructure"
2025-09-07,SMTC,product,"High-performance TIAs for 1.6T AI data centers","https://www.semtech.com/company/press/semtech-unveils-high-performance-tias-for-1.6t-ai-data-centers"
2026-03-17,MTSI,product,"448G per lane modulator drivers for 1.6T/3.2T optical transceivers","https://ir.macom.com/news-releases/news-release-details/macom-announces-two-new-448g-lane-drivers-32t-data-center/"
2026-02-06,MTSI,earnings,"Fiscal Q1 2026 results","https://ir.macom.com/news-releases/news-release-details/macom-reports-fiscal-first-quarter-2026-financial-results/"
