ticker,date,source,source_url,source_type,reliability_score,period,theme,weight_scheme,demand_score,supply_score,backlog_score,capex_bom_score,price_margin_score,demand_contribution,supply_contribution,backlog_contribution,capex_bom_contribution,price_margin_contribution,score_0_100,hard_data_ratio,classification,calibration_result,notes
THEME,2026-05-25,v3 calibration using public turning points,research_ai_supply_chain/source_log.md,derived_calibration,0.65,2023Q4,GPU,current_30_25_20_15_10,92,82,78,80,86,27.6,20.5,15.6,12.0,8.6,84.3,72,primary_bottleneck,pass,Scores are normalized 0-100 factor scores not raw YoY percentages; no monthly GPU capacity claim
THEME,2026-05-25,v3 calibration using public turning points,research_ai_supply_chain/source_log.md,derived_calibration,0.65,2023Q4,GPU,alt_35_25_15_15_10,92,82,78,80,86,32.2,20.5,11.7,12.0,8.6,85.0,72,primary_bottleneck,pass,Alternative weights do not change classification
THEME,2026-05-25,v3 calibration using public turning points,research_ai_supply_chain/source_log.md,derived_calibration,0.65,2024Q2,GPU,current_30_25_20_15_10,88,75,72,77,84,26.4,18.8,14.4,11.6,8.4,79.5,70,primary_bottleneck,pass,GPU still primary but peaking
THEME,2026-05-25,v3 calibration using public turning points,research_ai_supply_chain/source_log.md,derived_calibration,0.65,2024Q2,GPU,alt_35_25_15_15_10,88,75,72,77,84,30.8,18.8,10.8,11.6,8.4,80.3,70,primary_bottleneck,pass,Alternative weights do not change classification
THEME,2026-05-25,v3 calibration using public turning points,research_ai_supply_chain/source_log.md,derived_calibration,0.65,2024Q3,HBM_AP,current_30_25_20_15_10,82,76,70,80,74,24.6,19.0,14.0,12.0,7.4,77.0,66,potential_bottleneck,pass,Hard data ratio below 70 so marked potential rather than primary
THEME,2026-05-25,v3 calibration using public turning points,research_ai_supply_chain/source_log.md,derived_calibration,0.65,2024Q3,HBM_AP,alt_35_25_15_15_10,82,76,70,80,74,28.7,19.0,10.5,12.0,7.4,77.6,66,potential_bottleneck,pass,Alternative weights do not change classification
THEME,2026-05-25,v3 calibration using public turning points,research_ai_supply_chain/source_log.md,derived_calibration,0.65,2024Q4,Optical_Networking,current_30_25_20_15_10,76,68,63,70,65,22.8,17.0,12.6,10.5,6.5,69.4,58,watch_bottleneck,pass,Correctly avoids premature primary classification when supplier demand was still partly invisible
THEME,2026-05-25,v3 calibration using public turning points,research_ai_supply_chain/source_log.md,derived_calibration,0.65,2024Q4,Optical_Networking,alt_35_25_15_15_10,76,68,63,70,65,26.6,17.0,9.5,10.5,6.5,70.1,58,potential_bottleneck,borderline,Alternative weighting crosses 70 but hard_data_ratio still prevents primary classification
THEME,2026-05-25,v3 calibration using public turning points,research_ai_supply_chain/source_log.md,derived_calibration,0.65,2026Q1,Optical_Networking,current_30_25_20_15_10,88,78,82,82,74,26.4,19.5,16.4,12.3,7.4,82.0,76,primary_bottleneck,pass,Official supplier guide and orders now make optical primary under public-data rules
THEME,2026-05-25,v3 calibration using public turning points,research_ai_supply_chain/source_log.md,derived_calibration,0.65,2026Q1,Power_Cooling,current_30_25_20_15_10,90,76,92,84,76,27.0,19.0,18.4,12.6,7.6,84.6,82,primary_bottleneck,pass,Backlog and order data give strongest hard-data support
