ticker,date,source,source_url,source_type,reliability_score,ticker_a,ticker_b,risk_cluster,correlation_60d,correlation_120d,correlation_252d,constraint_rule,flag,risk_note
SMTC|MTSI,2026-05-25,yfinance adjusted close,https://finance.yahoo.com/,market_data,0.70,SMTC,MTSI,optical,0.648,0.61,0.566,Do not raise weights together if optical >0.75 or AP_HBM >0.70; flag cluster exposure >35%,YELLOW,"Correlation is rolling historical, not a hedge guarantee"
SMTC|MXL,2026-05-25,yfinance adjusted close,https://finance.yahoo.com/,market_data,0.70,SMTC,MXL,optical,0.29,0.313,0.36,Do not raise weights together if optical >0.75 or AP_HBM >0.70; flag cluster exposure >35%,OK,"Correlation is rolling historical, not a hedge guarantee"
MTSI|MXL,2026-05-25,yfinance adjusted close,https://finance.yahoo.com/,market_data,0.70,MTSI,MXL,optical,0.253,0.247,0.311,Do not raise weights together if optical >0.75 or AP_HBM >0.70; flag cluster exposure >35%,OK,"Correlation is rolling historical, not a hedge guarantee"
FORM|ONTO,2026-05-25,yfinance adjusted close,https://finance.yahoo.com/,market_data,0.70,FORM,ONTO,AP_HBM,0.771,0.656,0.622,Do not raise weights together if optical >0.75 or AP_HBM >0.70; flag cluster exposure >35%,RED,"Correlation is rolling historical, not a hedge guarantee"
FORM|CAMT,2026-05-25,yfinance adjusted close,https://finance.yahoo.com/,market_data,0.70,FORM,CAMT,AP_HBM,0.793,0.719,0.624,Do not raise weights together if optical >0.75 or AP_HBM >0.70; flag cluster exposure >35%,RED,"Correlation is rolling historical, not a hedge guarantee"
ONTO|CAMT,2026-05-25,yfinance adjusted close,https://finance.yahoo.com/,market_data,0.70,ONTO,CAMT,AP_HBM,0.702,0.712,0.682,Do not raise weights together if optical >0.75 or AP_HBM >0.70; flag cluster exposure >35%,RED,"Correlation is rolling historical, not a hedge guarantee"
POWL|MOD,2026-05-25,yfinance adjusted close,https://finance.yahoo.com/,market_data,0.70,POWL,MOD,power_cooling,0.693,0.551,0.474,Do not raise weights together if optical >0.75 or AP_HBM >0.70; flag cluster exposure >35%,RED,"Correlation is rolling historical, not a hedge guarantee"
POWL|AAON,2026-05-25,yfinance adjusted close,https://finance.yahoo.com/,market_data,0.70,POWL,AAON,power_cooling,0.275,0.315,0.292,Do not raise weights together if optical >0.75 or AP_HBM >0.70; flag cluster exposure >35%,OK,"Correlation is rolling historical, not a hedge guarantee"
MOD|AAON,2026-05-25,yfinance adjusted close,https://finance.yahoo.com/,market_data,0.70,MOD,AAON,power_cooling,0.449,0.454,0.472,Do not raise weights together if optical >0.75 or AP_HBM >0.70; flag cluster exposure >35%,OK,"Correlation is rolling historical, not a hedge guarantee"
POET|LWLG,2026-05-25,yfinance adjusted close,https://finance.yahoo.com/,market_data,0.70,POET,LWLG,cold_options,0.196,0.264,0.234,Do not raise weights together if optical >0.75 or AP_HBM >0.70; flag cluster exposure >35%,OK,"Correlation is rolling historical, not a hedge guarantee"
POET|ALMU,2026-05-25,yfinance adjusted close,https://finance.yahoo.com/,market_data,0.70,POET,ALMU,cold_options,0.285,0.304,0.237,Do not raise weights together if optical >0.75 or AP_HBM >0.70; flag cluster exposure >35%,OK,"Correlation is rolling historical, not a hedge guarantee"
ACMR|AXTI,2026-05-25,yfinance adjusted close,https://finance.yahoo.com/,market_data,0.70,ACMR,AXTI,China_geopolitical,0.362,0.37,0.339,Do not raise weights together if optical >0.75 or AP_HBM >0.70; flag cluster exposure >35%,OK,"Correlation is rolling historical, not a hedge guarantee"
AEHR|KLIC,2026-05-25,yfinance adjusted close,https://finance.yahoo.com/,market_data,0.70,AEHR,KLIC,high_valuation,0.686,0.505,0.464,Do not raise weights together if optical >0.75 or AP_HBM >0.70; flag cluster exposure >35%,RED,"Correlation is rolling historical, not a hedge guarantee"
