node_date,trade_date,node_id,theme,ticker,node_type,trigger,actual_days_20d,ret_20d_%,xQQQ_20d_%,xSMH_20d_%,actual_days_60d,ret_60d_%,xQQQ_60d_%,xSMH_60d_%,actual_days_120d,ret_120d_%,xQQQ_120d_%,xSMH_120d_%,actual_days_252d,ret_252d_%,xQQQ_252d_%,xSMH_252d_%
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,NVDA,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,-6.6,-1.79,-2.25,60,48.49,43.61,36.1,120,95.35,76.68,73.92,252,199.21,159.29,147.93
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,AMD,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,-11.68,-6.87,-7.32,60,7.07,2.19,-5.31,120,47.53,28.85,26.09,252,65.4,25.48,14.12
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,AVGO,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,7.88,12.69,12.23,60,14.93,10.05,2.55,120,32.36,13.69,10.93,252,83.11,43.19,31.83
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,MRVL,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,-14.33,-9.52,-9.98,60,5.39,0.51,-6.99,120,7.49,-11.18,-13.95,252,23.7,-16.23,-27.59
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,CAMT,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,-5.01,-0.2,-0.65,60,17.1,12.22,4.71,120,17.75,-0.93,-3.69,252,169.78,129.85,118.49
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,ONTO,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,-9.23,-4.42,-4.88,60,8.91,4.03,-3.47,120,29.03,10.36,7.59,252,86.28,46.35,35.0
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,FORM,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,1.5,6.31,5.86,60,37.07,32.19,24.68,120,34.52,15.85,13.08,252,70.86,30.93,19.57
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,LITE,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,-4.0,0.81,0.36,60,0.52,-4.36,-11.86,120,-14.94,-33.62,-36.38,252,-17.34,-57.26,-68.62
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,COHR,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,-1.65,3.16,2.71,60,22.67,17.79,10.28,120,-12.51,-31.19,-33.95,252,8.7,-31.22,-42.58
2022-11-30,2022-11-30,chatgpt_launch,all_ai_supply_chain,AAOI,gen_ai_awareness,ChatGPT public launch made generative AI demand visible,20,-9.95,-5.14,-5.6,60,33.18,28.3,20.79,120,-16.59,-35.26,-38.02,252,679.62,639.7,628.34
