scope,ticker,company,exchange_currency_or_market,price_date,last_close,market_cap_reported,role,why_it_matters,evidence_level,market_understanding,main_catalysts,main_risks,priority
先进封装/HBM,CAMT,Camtek,USA/USD,2026-05-22,167.37,7706463744,"advanced packaging inspection/metrology","Hawk 平台覆盖 HBM、chiplets、hybrid bonding、500M micro-bumps，AI 封装越复杂检测强度越高",高,半明牌,"IDM/OSAT 订单继续; HBM/chiplet 检测 ASP; Hawk 渗透率","估值已不低; 订单集中; 半导体设备周期",A
先进封装/HBM,ONTO,Onto Innovation,USA/USD,2026-05-22,262.25,13045251072,"advanced packaging inspection/metrology/lithography","Dragonfly G5 被 HBM 制造商选择，先进封装 2026 预计 30%+ 增长",高,半明牌,"HBM VPA/Dragonfly G5 放量; PACE/panel-level packaging; advanced nodes 协同","大市值化; 设备周期; 客户 capex 节奏",A-
先进封装/HBM,FORM,FormFactor,USA/USD,2026-05-22,128.99,10055386112,"probe cards/KGD/wafer test","HBM 和 AI chiplet 需要 known-good-die，probe card 成为先进封装良率入口",中高,半明牌,"HBM probe card 收入; advanced packaging Altius; AI networking probe card","估值高; 客户集中; DRAM 周期",A-
先进封装/HBM,ACMR,ACM Research,USA/USD,2026-05-22,73.35,5069180928,"advanced packaging wet process/coating/develop/clean/electroplate","收到 global customers 先进封装订单，覆盖多道 wafer/panel processing 工艺",中高,较低,"非中国客户订单; panel-level packaging; electroplating/clean 订单","中国暴露; 出口/地缘; 订单转收入节奏",A-
先进封装/HBM,KLIC,Kulicke & Soffa,USA/USD,2026-05-22,104.40,5463552512,"thermocompression/hybrid/advanced packaging assembly","HBM 和高密度封装需要 thermocompression/hybrid bonding 设备，传统 wirebond 公司有转型弹性",中,较低,"FTC/HBM system 出货; advanced packaging revenue mix; hybrid bonding 接单","传统业务拖累; 转型慢; 竞争 BESI/ASMPT",B+
先进封装/HBM,AMKR,Amkor Technology,USA/USD,2026-05-22,65.75,16297617408,"OSAT advanced packaging/test","美国/越南/韩国先进封装扩产，可能承接非 TSMC CoWoS 或 US onshore packaging 需求",中高,半明牌,"Arizona advanced packaging; AMD/AI customer; HDFO/platform mix","资本开支大; 毛利低; 2028 产能较远",B+
先进封装/HBM,BESI.AS,BE Semiconductor,EUR,2026-05-22,273.60,21673144320,"hybrid bonding/die attach","HBM4/16-high 和 SoIC/3D 封装若导入 hybrid bonding，BESI 是关键设备锚",中高,明牌,"hybrid bonding backlog; HBM4 客户订单; 2026H2-2027 adoption","欧洲大票; smartphone cycle; adoption timing",B+
先进封装/HBM,ASX,ASE Technology,USA ADR/USD,N/A,N/A,N/A,"OSAT advanced packaging/CoWoS overflow","AI 封装外溢到 OSAT，ASE 与 WUS 建 AI packaging hub，VIPack 覆盖 AI/HPC/data center",中高,半明牌,"CoWoS/FOCoS capacity; WUS collaboration; advanced test revenue","ADR 与台湾本体流动性; 毛利; capex",B
电力/变压器,HPS-A.TO,Hammond Power Solutions,CAD,2026-05-22,299.81,3569215232,"dry-type transformers/power quality","Q1 2026 销售 +31.5%，backlog +94.6%，数据中心相关活动拉动；变压器是数据中心慢交付关键件",高,较低,"data center custom shipments; Mexico factory ramp; backlog conversion","加拿大流动性; 原材料/关税; 估值重估后回撤",A
电力/变压器,POWL,Powell Industries,USA/USD,2026-05-22,279.22,10172444672,"switchgear/electrical distribution/behind-the-meter","Q2 2026 订单 +97%，季度后获 >4 亿美元数据中心订单；switchgear 是项目关键路径",高,半明牌,"mega data center orders; backlog 18亿美元; margin stability","工程执行; 高估值; 订单 lumpiness",A-
