event_id,ticker,theme,category,source_quality,source_type,model_action,decision_route,matched_terms,snippet,source_title,source_url,fetched_at_utc
93bd684e6a41d651,SMTC,optical,order_backlog,A,ir_notice,eligible_for_event_ledger_review,event_ledger_review_after_no_trade_check,order(?:s|ed|ing)?,Semtech Announces First Quarter of Fiscal Year 2027 Conference Call | Semtech Skip to main content Cross Reference Parametric Shop Investors my S emtech EN EN CN (中文) JP (日本語) FR L o R a ® L o R a ® Overview L o R a Overview LoRa is the de facto wireless platform of Internet of Things (IoT). Semtech's LoRa chipsets connect sensors to the Cloud and enable rea,Semtech Announces First Quarter of Fiscal Year 2027 Conference Call | Semtech,https://www.semtech.com/company/press/semtech-announces-first-quarter-of-fiscal-year-2027-conference-call,2026-05-25T05:37:20+00:00
6094b1d4ffe85c05,SMTC,optical,guidance_outlook,A,ir_notice,eligible_for_event_ledger_review,event_ledger_review_after_no_trade_check,outlook,"1:30 p.m. PT (4:30 p.m. ET) on Tuesday, May 26, 2026, to discuss its first quarter of fiscal year 2027 performance and events, current business activities and conditions, and the outlook for the business. Participants can dial in to the call at 877-407-0312 (toll-free) or 201-389-0899 (toll/international) with conference ID 13760245. The event will also be webcast",Semtech Announces First Quarter of Fiscal Year 2027 Conference Call | Semtech,https://www.semtech.com/company/press/semtech-announces-first-quarter-of-fiscal-year-2027-conference-call,2026-05-25T05:37:20+00:00
06d46015e1642439,SMTC,optical,ai_datacenter,A,ir_notice,update_pre_confirmation_or_watch,pre_confirmation_signal_log,AI|data center,Semtech Announces First Quarter of Fiscal Year 2027 Conference Call | Semtech Skip to main content Cross Reference Parametric Shop Investors my S emtech EN EN CN (中文) JP (日本語) FR L o R a ® L o R a ® Overview L o R a Overview LoRa is the de facto wireless platform of In,Semtech Announces First Quarter of Fiscal Year 2027 Conference Call | Semtech,https://www.semtech.com/company/press/semtech-announces-first-quarter-of-fiscal-year-2027-conference-call,2026-05-25T05:37:20+00:00
139af7c1bbe47231,MOD,power_cooling,capacity_supply,A,ir_notice,update_pre_confirmation_or_watch,pre_confirmation_signal_log,manufacturing,"Modine Manufacturing Company - Modine to Host Fourth Quarter Fiscal 2026 Earnings Conference Call on May 27, 2026 Skip to main content Skip to main content Overview News Events & Presentations Stock I","Modine Manufacturing Company - Modine to Host Fourth Quarter Fiscal 2026 Earnings Conference Call on May 27, 2026",https://investors.modine.com/news/news-details/2026/Modine-to-Host-Fourth-Quarter-Fiscal-2026-Earnings-Conference-Call-on-May-27-2026/default.aspx,2026-05-25T05:37:21+00:00
535744338d333181,MOD,power_cooling,order_backlog,A,ir_release,eligible_for_event_ledger_review,event_ledger_review_after_no_trade_check,order(?:s|ed|ing)?|backlog,Modine Manufacturing Company - Modine Reports Third Quarter Fiscal 2026 Results Skip to main content Skip to main content Overview News Events & Presentations Stock Info Financials Quarterly Results Annual Reports SEC Filings Governance Governance Documents Executive Management Board of Directors Committee Composition Resources Investor FAQs Information Requ,Modine Manufacturing Company - Modine Reports Third Quarter Fiscal 2026 Results,https://investors.modine.com/news/news-details/2026/Modine-Reports-Third-Quarter-Fiscal-2026-Results/default.aspx,2026-05-25T05:37:22+00:00
b27574c2554317e3,MOD,power_cooling,guidance_outlook,A,ir_release,eligible_for_event_ledger_review,event_ledger_review_after_no_trade_check,outlook|guid(?:e|ance|ed)|rais(?:e|ed|ing)|expects?,"l 2026 Results February 4, 2026 Ongoing execution of planned production ramp for Data Center products drives top-line growth of 51% in Climate Solutions segment; raising full-year outlook for revenue and earnings RACINE, Wis. , Feb. 4, 2026 /PRNewswire/ -- Modine (NYSE: MOD), a diversified global leader in thermal management technology and solutions, today reported",Modine Manufacturing Company - Modine Reports Third Quarter Fiscal 2026 Results,https://investors.modine.com/news/news-details/2026/Modine-Reports-Third-Quarter-Fiscal-2026-Results/default.aspx,2026-05-25T05:37:22+00:00
4b4abe15e08e0369,MOD,power_cooling,margin_cash,A,ir_release,eligible_for_event_ledger_review,event_ledger_review_after_no_trade_check,gross margin|free cash flow|cash,"increased 1 percent from the prior year, as lower volumes were offset by favorable pricing and foreign exchange impact. Gross profit increased $36.5 million to $186.1 million and gross margin decreased by 120 basis points to 23.1 percent. The decrease in gross margin was primarily driven by lower gross margin in the Climate Solutions segment, which resulted primarily f",Modine Manufacturing Company - Modine Reports Third Quarter Fiscal 2026 Results,https://investors.modine.com/news/news-details/2026/Modine-Reports-Third-Quarter-Fiscal-2026-Results/default.aspx,2026-05-25T05:37:22+00:00
b3c3fae796cd908d,MOD,power_cooling,capacity_supply,A,ir_release,update_pre_confirmation_or_watch,pre_confirmation_signal_log,capacity|production ramp|manufacturing,"g performance, with 21 percent organic sales growth driven by a 78 percent increase in data center sales,"" said Modine President and Chief Executive Officer, Neil D. Brinker. ""The capacity expansion for data center products remains on schedule, with new production lines contributing to a 31 percent sequential increase in sales compared to the second fiscal quarter.",Modine Manufacturing Company - Modine Reports Third Quarter Fiscal 2026 Results,https://investors.modine.com/news/news-details/2026/Modine-Reports-Third-Quarter-Fiscal-2026-Results/default.aspx,2026-05-25T05:37:22+00:00
12d6931ca980a69f,MOD,power_cooling,financing_balance_sheet,A,ir_release,update_pre_confirmation_or_watch,pre_confirmation_signal_log,financing|balance sheet|debt,"ent (101.2) (56.3) Payments for business acquisitions, net of cash acquired (182.4) (3.4) Other – net 3.5 0.6 Net cash used for investing activities (280.1) (59.1) Cash flows from financing activities: Net increase (decrease) in debt 258.3 (60.6) Purchases of treasury stock (6.8) (12.3) Other – net 0.1 0.5 Net cash provided by (used for) financing activities 251.6 (7",Modine Manufacturing Company - Modine Reports Third Quarter Fiscal 2026 Results,https://investors.modine.com/news/news-details/2026/Modine-Reports-Third-Quarter-Fiscal-2026-Results/default.aspx,2026-05-25T05:37:22+00:00
c332a7a7b6965048,MOD,power_cooling,ai_datacenter,A,ir_release,update_pre_confirmation_or_watch,pre_confirmation_signal_log,data center,"vestor Email Alerts Investor Contacts News Details View All News Modine Reports Third Quarter Fiscal 2026 Results February 4, 2026 Ongoing execution of planned production ramp for Data Center products drives top-line growth of 51% in Climate Solutions segment; raising full-year outlook for revenue and earnings RACINE, Wis. , Feb. 4, 2026 /PRNewswire/ -- Modine (NYSE: M",Modine Manufacturing Company - Modine Reports Third Quarter Fiscal 2026 Results,https://investors.modine.com/news/news-details/2026/Modine-Reports-Third-Quarter-Fiscal-2026-Results/default.aspx,2026-05-25T05:37:22+00:00
