ticker,date,source,source_url,source_type,reliability_score,tier,scenario,probability,confidence,trigger_events,driver_chain,revenue_impact,margin_impact,fcf_impact,valuation_multiple,target_price,falsification_signal,error_band
POWL,2026-05-25,official Powell FY2026 Q2 release,https://powellindustriesinc.gcs-web.com/news-releases/news-release-details/powell-industries-announces-second-quarter-fiscal-2026-results,official_disclosure_and_derived_model,0.90,Tier 1,bear,25%,Medium,>$400M post-quarter data-center order exists but delivery slips or cost overrun appears,Official order -> backlog visibility; delivery schedule not disclosed; model assumes 18-24 month conversion; use backlog and GM as proxies not internal utilization,15%-25% below base,GM falls below 27% or project mix/cost absorbs scale benefit,FCF conversion weak as working capital rises,Low peer EV/EBITDA and P/E reset,235-245,GM <27% or backlog/order conversion weakens or >$400M order delayed,±15%-20%
POWL,2026-05-25,official Powell FY2026 Q2 release,https://powellindustriesinc.gcs-web.com/news-releases/news-release-details/powell-industries-announces-second-quarter-fiscal-2026-results,official_disclosure_and_derived_model,0.90,Tier 1,base,50%,Medium-High,>$400M post-quarter data-center order enters backlog/revenue bridge and margins stay near prior-year levels,Official order -> 18-24 month revenue conversion assumption -> backlog coverage improves -> high-20s GM sustained; capacity utilization not disclosed,Tracks current run-rate plus known order contribution,High-20s GM stable around 27%-30%,FCF normalizes after working-capital timing,Peer median EV/EBITDA and P/E with small-company discount,325-360,GM <27% or backlog weakens or management flags cancellation/scope reduction,±10%-15%
POWL,2026-05-25,official Powell FY2026 Q2 release,https://powellindustriesinc.gcs-web.com/news-releases/news-release-details/powell-industries-announces-second-quarter-fiscal-2026-results,official_disclosure_and_derived_model,0.90,Tier 1,bull,25%,Medium,>$400M order plus repeat data-center orders and book-to-bill remains >1.2x,Official order -> repeat awards -> backlog expands beyond $1.8B baseline -> GM >=30% from mix/scale if expansion costs controlled,20%-40% above base,Stable to +150bp if scale benefit exceeds capacity-expansion cost,FCF conversion improves after project milestones,Premium peer EV/EBITDA and P/E,420-480,No repeat validation within two quarters or GM <27% or backlog/order language weakens,±20%-25%
MOD,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.85,Tier 1,bear,25%,Medium,FY2027 data-center cooling outlook and FCF fails,Demand/order weakness -> revenue below model -> multiple compression,15%-25% below base,-150bp to -300bp,FCF conversion weak,Low peer multiple / reset valuation,220-240,Data-center growth <50% or FCF worsens,±15%-20%
MOD,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.85,Tier 1,base,50%,Medium-High,FY2027 data-center cooling outlook and FCF validates current guide,Orders/backlog/guide -> revenue bridge -> margin mostly stable,Tracks current guide plus known orders,Near guide or recent run-rate,FCF conversion normalizes,Peer median or justified premium,300-330,Data-center growth <50% or FCF worsens,±10%-15%
MOD,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.85,Tier 1,bull,25%,Medium,FY2027 data-center cooling outlook and FCF plus repeat order/guide raise,Demand acceleration -> utilization -> margin/valuation premium,20%-40% above base,Stable to +150bp,FCF conversion improves,Premium peer multiple,380-450,No repeat validation within two quarters; Data-center growth <50% or FCF worsens,±20%-25%
AAON,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.85,Tier 1,bear,25%,Medium,BASX backlog/liquid cooling and GM 27%-28% fails,Demand/order weakness -> revenue below model -> multiple compression,15%-25% below base,-150bp to -300bp,FCF conversion weak,Low peer multiple / reset valuation,98-105,Backlog slows or GM misses,±15%-20%
AAON,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.85,Tier 1,base,50%,Medium-High,BASX backlog/liquid cooling and GM 27%-28% validates current guide,Orders/backlog/guide -> revenue bridge -> margin mostly stable,Tracks current guide plus known orders,Near guide or recent run-rate,FCF conversion normalizes,Peer median or justified premium,155-170,Backlog slows or GM misses,±10%-15%
AAON,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.85,Tier 1,bull,25%,Medium,BASX backlog/liquid cooling and GM 27%-28% plus repeat order/guide raise,Demand acceleration -> utilization -> margin/valuation premium,20%-40% above base,Stable to +150bp,FCF conversion improves,Premium peer multiple,190-220,No repeat validation within two quarters; Backlog slows or GM misses,±20%-25%
SMTC,2026-05-25,v3 driver model derived from official disclosures,research_ai_supply_chain/source_log.md,derived_model,0.85,Tier 1,bear,25%,Medium,Q1 FY2027 guide and 1.6T/3.2T signal fails,Demand/order weakness -> revenue below model -> multiple compression,15%-25% below base,-150bp to -300bp,FCF conversion weak,Low peer multiple / reset valuation,102-115,Inline guide or structural GM pressure,±15%-20%
