metric,latest_value,source,why_it_matters,green_threshold,yellow_threshold,red_threshold,current_reading
Q1 revenue,$231.3M,ACMR Q1 2026 release,"Baseline demand and 2026 guide credibility",">35% YoY with guide raise","20%-35% YoY","<20% YoY",Yellow-green: +34.2% YoY but no guide raise
Q1 shipments,$240.7M,ACMR Q1 2026 release,"Pipeline of tools awaiting acceptance",">revenue by >10% with acceptance conversion next quarter","roughly equal to revenue","shipments slow while inventory rises",Yellow-green: shipments exceed revenue modestly
2026 revenue guide,$1.08B-$1.175B,ACMR Q1 2026 release,"Defines base-case revenue bridge","Guide raised above $1.175B","Guide maintained","Guide cut or back-half implied slowdown",Yellow: maintained
ECP/furnace/other revenue,$84.2M vs $27.6M YoY,ACMR Q1 2026 10-Q,"Most important product mix acceleration","+100% YoY and sustained sequential strength","+30%-100% YoY","Growth reverses",Green: +205% YoY but category bundling limits purity
Advanced packaging/services/spares revenue,$24.5M vs $15.1M YoY,ACMR Q1 2026 10-Q,"Direct AP revenue line excluding ECP","+50% YoY and sequential growth","+20%-50% YoY","Flat/down",Green: +62% YoY
Mainland China revenue exposure,Substantially all revenue,ACMR Q1 2026 10-Q,"Determines geopolitical and valuation discount","Non-China revenue disclosed >15%","Non-China orders repeat but revenue not disclosed","No non-China revenue proof",Red: orders exist but revenue still China-heavy
Global AP orders,Singapore OSAT + non-China packaging manufacturer + North America tech customer,ACMR Feb 2026 AP orders release,"Core re-rating proof from China WFE to global AP equipment","Repeat orders or production qualification from at least two global customers","Initial orders only","No follow-up for 2-3 quarters","Yellow-green: strong first proof, not yet repeat"
Gross margin,46.4%,ACMR Q1 2026 release,"Shows price/mix quality",">46% while growth accelerates","42%-46%","<42%",Green: upper half of model
Operating margin,15.6%,ACMR Q1 2026 release,"Shows scale and expense discipline",">17%","13%-17%","<13%",Yellow: acceptable but not expanding enough
Adjusted EBITDA,$39.7M,ACMR Q1 2026 10-Q,"Quality of earnings before working capital",">20% EBITDA margin","15%-20%","<15%",Yellow-green: about 17.2% margin
Accounts receivable,$526.5M net,ACMR Q1 2026 10-Q,"Collection risk and acceptance/payment timing","AR grows slower than revenue for 2 quarters","AR stable vs revenue","AR grows faster than revenue",Red: AR/revenue very high
Inventory,$738.0M net,ACMR Q1 2026 10-Q,"Demand visibility vs overbuild risk","Inventory grows slower than revenue and first-tool inventory falls","Inventory stable","Inventory continues rising with OCF negative",Red: inventory heavy
First tools at customer locations,$119.5M,ACMR Q1 2026 10-Q,"Can become revenue after acceptance, or remain stuck","Falls because tools accepted into revenue","Stable with new first tools explained","Rises while acceptance slows",Yellow: down from $145.5M but still material
Operating cash flow,-$29.5M,ACMR Q1 2026 10-Q,"Separates profitable growth from working-capital absorption","Positive OCF with revenue growth","Small negative but improving","Two quarters materially negative",Red: negative
Free cash flow,-$52.1M,ACMR Q1 2026 10-Q,"Capital intensity and cash conversion","Positive FCF","Near breakeven","Deeply negative",Red
Net cash,$924.2M,ACMR Q1 2026 release,"Balance-sheet buffer","Net cash rising from operations","Net cash stable due to financing","Net cash falls while WC worsens","Green for solvency, yellow for quality"
ACM Shanghai ownership,73.6%,ACMR Q1 2026 10-Q,"Consolidated revenue overstates parent economic claim","Ownership stable or buybacks offset dilution","Minor dilution with capital benefit","Further dilution without parent return",Yellow: minority interest must be modeled
Current market cap,About $4.9B-$5.2B,StockAnalysis/CompaniesMarketCap May 2026 snapshots,"Valuation relative to 2026/2027 scenarios","<4x 2027 attributed base sales","4x-6x attributed base sales",">6x attributed base sales",Yellow-red: no longer undiscovered
Decision status,Starter/observe not confirmation,Internal model,"Final action state","Upgrade after global repeat + OCF improvement","Starter while waiting","Avoid if WC worsens and non-China proof stalls",Yellow
