ticker,theme,strategy_bucket,current_action,entry_zone_or_trigger,add_trigger,trim_exit_trigger,why_it_stays_in_universe
SMTC,optical_networking,High-conviction active,"Wait for May 26 confirmation; no pre-earnings chase","Post-Q1 beat/guide raise or pullback $124-$135","Data-center/Signal Integrity guide raises and holds 20DMA","Inline guide after huge run or failed breakout","Highest-confidence optical/networking near-term test"
MTSI,optical_networking,High-conviction active,"No chase; wait pullback or Q3","$330-$345 or Q3 revenue >$339M","Q4 guide strong and GM 59%-60%+","Q3 < $331M or GM guide below 59%","High-end optical/analog component lever"
VECO,optical_networking,Core anchors,"Starter only on pullback","$55-$56 or $45-$50 reset","Q2 >$190M or FY guide >$800M","Q2 < $170M or InP orders delay","InP laser equipment upstream bottleneck"
MXL,optical_networking,High-conviction active,"Event/pullback only","$80-$85, $60-$70, or optical DC >$200M","Rushmore/Annapurna production socket","Q2 < $160M or optical DC not raised","DSP/TIA/retimer transition option"
FN,optical_networking,Core anchors,"Needs decision-grade update before new buy","Pullback plus AI optical manufacturing mix proof","800G/1.6T manufacturing revenue and margin durable","Customer concentration or margin pressure","Strong historical optical manufacturing beneficiary"
COHR,optical_networking,Core anchors,"Anchor only; not hidden alpha","Pullback after AI datacom confirmation","AI datacom mix and FCF improve","Capex/FCF or non-AI weakness","Photonic platform anchor"
LITE,optical_networking,Core anchors,"Anchor only; not hidden alpha","Pullback after laser/datacom confirmation","AI datacom/OCS/CPO revenue visibility","Supply allocation or margin issue","Laser/EML/OCS anchor"
HPS-A.TO,power_cooling,Core anchors,"Small starter/pullback","C$275-C$285; better C$245-C$260","Backlog/book-to-bill >1, GM near 30%, AEG clear","Backlog decline or GM <28%","Small public AI power candidate"
POWL,power_cooling,High-conviction active,"Starter on pullback","$250-$265; better $235-$245","Backlog rises after $400M+ data-center order and GM near 29%","Backlog weak or GM <27%","Strong historical power/cooling winner"
MOD,power_cooling,High-conviction active,"Wait May 26/27 FY2026 validation","$245-$260 after strong FY2027 outlook","Data-center growth and FCF/working capital improve","Data-center growth slows or FCF worsens","Thermal/data-center cooling winner"
VRT,power_cooling,Core anchors,"Anchor only; crowded","Pullback after backlog confirmation","Orders/backlog and liquid cooling strength","AI capex slowdown or valuation extreme","AI power/cooling benchmark"
ETN,power_cooling,Core anchors,"Anchor only; crowded","Pullback after Electrical Americas orders","Data-center orders/backlog and margins hold","Orders slow or valuation extreme","Electrical infrastructure benchmark"
