theme,ticker,company,role,priority,why_included,decision_gate,current_status
optical_networking,SMTC,Semtech,FiberEdge PMD/TIA/VCSEL driver,A,"1.6T/200G per channel component exposure; historical optical basket strong","Need customer adoption, 1.6T revenue contribution, margin impact","Next decision-grade deep dive"
optical_networking,MTSI,MACOM,drivers/TIA/laser/control ICs,A,"448G per lane drivers and high-end analog exposure; strong historical ticker behavior","Need 1.6T/3.2T customer sockets and revenue bridge","Next decision-grade deep dive"
optical_networking,MXL,MaxLinear,DSP/TIA/224G retimer,A-,"Already attacked; optical DC + Annapurna/Rushmore optionality","Need optical DC >$200M or production socket proof","Event/pullback only"
optical_networking,FN,Fabrinet,Optical manufacturing platform,A-,"Manufacturing beneficiary; stock-level optical backtest strong","Need AI optical manufacturing mix, customer concentration, margin durability","Needs decision-grade update"
optical_networking,VECO,Veeco,InP laser manufacturing equipment,A,"InP laser equipment is upstream bottleneck; $250M order signal in source log","Need delivery/revenue timing and customer concentration","Next decision-grade deep dive"
optical_networking,AIXA.DE,AIXTRON,MOCVD for InP/GaAs lasers,A-,"Compound semi equipment lever to AI optical source capacity","Need AI datacom order split and 2026/2027 backlog","Needs first DD"
optical_networking,AXTI,AXT,InP/GaAs substrates,B+,"Material bottleneck candidate but already repriced in database","Need license/Tongmei risk and InP volume validation","Needs re-rating risk review"
optical_networking,COHR,Coherent,InP/laser/modules/CPO anchor,Anchor,"Vertically integrated photonics anchor","Need AI datacom mix and capex/FCF quality","Anchor, not hidden small-cap"
optical_networking,LITE,Lumentum,EML/UHP laser/OCS/CPO anchor,Anchor,"Laser and photonics anchor","Need supply allocation and AI datacom durability","Anchor, not hidden small-cap"
optical_networking,POET,POET Technologies,Optical engines/high-beta photonics option,Spec,"Potential optical engine leverage but execution/financing risk","Need real production purchase orders and revenue conversion","Option pool only"
optical_networking,LWLG,Lightwave Logic,EO polymer modulator material,Spec,"Potential material discontinuity in modulators","Need foundry transfer, reliability, commercial contract","Option pool only"
optical_networking,ALMU,Aeluma,III-V on silicon/quantum-dot laser material,Spec,"Very early materials platform","Need commercial orders beyond validation","Option pool only"
power_cooling,HPS-A.TO,Hammond Power Solutions,Dry-type transformers/custom power,A,"Already attacked; small public candidate in AI power chain","Need Q2/Q3 backlog, data-center/custom mix, AEG economics","Starter/observe"
power_cooling,POWL,Powell Industries,Switchgear/electrical infrastructure,A,"Historical stock-level 120/252d xQQQ strong; data-center orders","Need backlog conversion and margin durability","Next decision-grade deep dive"
power_cooling,MOD,Modine,Thermal/data-center cooling,A,"Historical power-cooling winner; data-center growth target","Need liquid/data-center revenue mix and margin","Next decision-grade deep dive"
power_cooling,VRT,Vertiv,AI data-center power/cooling anchor,Anchor,"Backlog/order anchor for power/cooling direction","Need valuation and backlog quality","Anchor, crowded"
power_cooling,ETN,Eaton,Electrical Americas/power chain anchor,Anchor,"Data-center electrical orders and AI factory power architecture","Need valuation and AI mix","Anchor, crowded"
power_cooling,NVT,nVent,Electrical protection/liquid cooling,B+,"Adjacent data-center electrical and cooling exposure","Need AI-specific mix and acquisition synergy","Needs DD"
power_cooling,ECL,Ecolab/CoolIT,Data-center liquid cooling and water,B+,"CoolIT acquisition adds liquid cooling exposure","Need CoolIT revenue/margin and integration","Needs DD"
power_cooling,AAON,AAON,HVAC/data-center cooling candidate,B+,"Thermal infrastructure candidate to test","Need data-center mix and backlog proof","New expansion candidate"
power_cooling,FIX,Comfort Systems,Data-center mechanical/electrical contractor,B+,"Engineering/buildout beneficiary; backlog model","Need AI data-center backlog and margin durability","New expansion candidate"
advanced_packaging_hbm,CAMT,Camtek,Hawk/AP/HBM inspection,A,"Already attacked; strong order proof but expensive","Need H2 ramp and follow-on orders","Wait for pullback/catalyst"
advanced_packaging_hbm,ONTO,Onto Innovation,Dragonfly G5/Atlas/Rigaku process control,A,"Already attacked; high quality platform","Need G5/3Di follow-on and Rigaku close details","Core watch/pullback"
advanced_packaging_hbm,FORM,FormFactor,HBM/probe cards/KGD,A-,"Stock-level results moderate but strategic HBM test role","Need HBM probe card revenue bridge and customer concentration","Next decision-grade deep dive"
advanced_packaging_hbm,AEHR,Aehr Test Systems,AI processor and silicon photonics burn-in,A-,"Potential test bottleneck with hyperscaler/silicon photonics orders","Need order sustainability and FY2027 revenue bridge","Next decision-grade deep dive"
advanced_packaging_hbm,ACMR,ACM Research,Wet/ECP/AP/panel cleaning,A-,"Already attacked; AP logic strong, cash quality weak","Need non-China repeat orders and OCF improvement","Starter only"
advanced_packaging_hbm,KLIC,Kulicke & Soffa,TCB/advanced packaging assembly,B+,"Lower market understanding but traditional drag","Need AI/AP revenue mix and FTC/HBM order proof","Needs DD refresh"
advanced_packaging_hbm,BESI.AS,BE Semiconductor,Hybrid bonding/die attach,B+,"HBM4/hybrid bonding optionality","Need adoption timing and valuation review","Needs Europe DD"
copper_interconnect,CRDO,Credo,AEC/SerDes/connectivity,A-,"Strong historical behavior but valuation and customer concentration","Need customer concentration and 2027 revenue bridge","Anchor/high-beta"
copper_interconnect,ALAB,Astera Labs,PCIe/CXL/retimer/connectivity,A-,"AI connectivity platform but high valuation","Need product attach and customer concentration","Anchor/high-beta"
copper_interconnect,APH,Amphenol,Connectors/cables,A-,"Stock-level copper backtest strong; broad AI connector exposure","Need AI data-center organic growth split","Anchor"
copper_interconnect,TEL,TE Connectivity,Connectors/sensors,B,"Less pure AI but stable industrial connector exposure","Need AI mix clarity","Secondary"
storage_memory,MU,Micron,HBM/DRAM/SSD,Anchor,"HBM is true bottleneck but large cyclical stock","Need HBM contract and margin durability","Macro confirmation"
storage_memory,WDC,Western Digital,HDD/high-capacity storage,B,"AI/cloud storage exposure","Need LTA and HAMR execution","Secondary"
storage_memory,STX,Seagate,HAMR/high-capacity HDD,B,"AI/cloud storage exposure","Need HAMR qualification and margin","Secondary"
physical_ai_magnets,NEO.TO,Neo Performance Materials,Magnequench/bonded magnets,A-,"Best small public magnet candidate but physical AI timing early","Need commercial PM projects and Magnequench EBITDA","Option watch"
physical_ai_magnets,MP,MP Materials,Rare earth/magnets,B+,"US strategic magnet supply but repriced and commodity-linked","Need 10X magnet facility/offtake economics","Option watch"
physical_ai_magnets,6762.T,TDK,Sensors/magnetics/robotics,B+,"Sensors/magnetics broad physical AI exposure","Need robotics sensor revenue proof","Watch only"
