ticker,date,source,source_url,source_type,reliability_score,data_center_type,component,cost_low_pct,cost_high_pct,cost_mid_pct,trend,confidence,notes
THEME,2026-05-25,Source log plus internal range assumption,research_ai_supply_chain/source_log.md,derived_from_official_and_industry_sources,0.65,Hyperscale AI factory,GPU_HBM_accelerators,40,48,44.0,stable_to_down_as_other_bottlenecks_rise,Medium,GPU remains largest cost bucket but share can fall as networking/power intensity rises
THEME,2026-05-25,Source log plus internal range assumption,research_ai_supply_chain/source_log.md,derived_from_official_and_industry_sources,0.65,Hyperscale AI factory,Optical_copper_networking,8,14,11.0,up,Medium,"800G/1.6T, scale-up/scale-out fabrics, DSP/TIA/retimer content"
THEME,2026-05-25,Source log plus internal range assumption,research_ai_supply_chain/source_log.md,derived_from_official_and_industry_sources,0.65,Hyperscale AI factory,Power_switchgear_electrical,8,13,10.5,up,Medium,"Switchgear, transformers, substations, behind-the-meter infrastructure"
THEME,2026-05-25,Source log plus internal range assumption,research_ai_supply_chain/source_log.md,derived_from_official_and_industry_sources,0.65,Hyperscale AI factory,Cooling_thermal,5,9,7.0,up,Medium,"Liquid cooling, CDU, cold plates, air-side systems"
THEME,2026-05-25,Source log plus internal range assumption,research_ai_supply_chain/source_log.md,derived_from_official_and_industry_sources,0.65,Hyperscale AI factory,Servers_boards_racks,8,11,9.5,stable,Medium,"Server, rack, board, cable management"
THEME,2026-05-25,Source log plus internal range assumption,research_ai_supply_chain/source_log.md,derived_from_official_and_industry_sources,0.55,Hyperscale AI factory,Storage,5,8,6.5,stable_to_up,Low-Medium,AI data lake and checkpointing storage
THEME,2026-05-25,Source log plus internal range assumption,research_ai_supply_chain/source_log.md,derived_from_official_and_industry_sources,0.65,Hyperscale AI factory,Construction_other,8,12,10.0,up,Medium,Mechanical/electrical construction and balance of plant
THEME,2026-05-25,Source log plus internal range assumption,research_ai_supply_chain/source_log.md,derived_from_official_and_industry_sources,0.55,Edge AI / enterprise,GPU_HBM_accelerators,25,38,31.5,mixed,Low-Medium,Lower accelerator density; more heterogeneous
THEME,2026-05-25,Source log plus internal range assumption,research_ai_supply_chain/source_log.md,derived_from_official_and_industry_sources,0.65,Edge AI / enterprise,Power_cooling,12,20,16.0,up,Medium,Speed-to-power and retrofits matter more
THEME,2026-05-25,Source log plus internal range assumption,research_ai_supply_chain/source_log.md,derived_from_official_and_industry_sources,0.55,Edge AI / enterprise,Networking,5,10,7.5,up,Low-Medium,Less 1.6T intensity than hyperscale
THEME,2026-05-25,Source log plus internal range assumption,research_ai_supply_chain/source_log.md,derived_from_official_and_industry_sources,0.55,Edge AI / enterprise,Storage_servers_other,35,50,42.5,mixed,Low-Medium,Higher share of non-accelerator IT and integration
