ticker,theme,last_close,technical_state,entry_now,preferred_entry_zone,confirmation_entry,first_target,bull_target,stop_loss_price_or_rule,fundamental_stop,expected_holding_window,position_style,risk_level,key_risk
ACMR,advanced_packaging_wet_ECP,73.35,"52w high; 22% above 20DMA; 42% above 50DMA","No chase at 52w high","60-64 controlled pullback near 20DMA; 52-56 near 50DMA better","Add only after Q2/Q3 shows non-China AP repeat orders or OCF/AR/inventory improvement","85-95 (+16% to +30%)","110-130 (+50% to +77%)","Close below 56 after failed breakout; or break below 50DMA with weak working capital","OCF stays negative, AR/inventory worsen, global AP orders do not repeat, guide cut","1-3 quarters","starter only after pullback/confirmation",High,"China revenue concentration, AR/inventory, minority interest, geopolitics"
MXL,optical_DSP_TIA_retimer,99.16,"Near 52w high; 18% above 20DMA; 111% above 50DMA","No chase","80-85 near 20DMA; 60-70 if post-run reset; 47-55 near 50DMA extreme reset","Add only if optical DC revenue guide moves above $200M or Rushmore/Annapurna production socket confirmed","115-130 (+16% to +31%)","150-180 (+51% to +82%)","Close below post-earnings support around 75 or failed reclaim of 20DMA","Q2 below $160M, Q3 guide weak, optical DC not raised, inventory/prepay rises without revenue","2-12 weeks for event trade; 2-4 quarters if confirmed","event/pullback only",Very High,"Parabolic re-rating, customer opacity, Broadcom/Marvell/Credo/Astera competition"
HPS-A.TO,power_transformers_custom_power,299.81,"14% below high; slightly below 20DMA; 22% above 50DMA","Small starter acceptable only with Q2/Q3 patience","275-285 first zone; 245-260 near 50DMA higher quality","Add after Q2/Q3 if backlog/book-to-bill >1 and gross margin near 30%; AEG economics clear","335-360 (+12% to +20%)","400-450 (+33% to +50%)","Close below 245 or loss of 50DMA with backlog/margin deterioration","Backlog sequential decline, gross margin <28%, AEG leverage/integration issue, data-center language fades","1-3 quarters","starter/pullback",Medium,"Data-center mix not disclosed, AEG integration, Canadian liquidity"
CAMT,advanced_packaging_HBM_inspection,167.37,"19% below high; below 20DMA and 50DMA after earnings selloff","Only controlled starter; wait for base","160-170 if it builds base; 145-155 deeper reset; avoid if selling volume persists","Add if Q2/Q3 confirms H2 >25% vs H1 and Hawk/OSAT orders repeat","190-210 (+14% to +25%)","240-270 (+43% to +61%)","Close below 150 or failed base after Q2 guide","H2 revenue step-up fails, Hawk/OSAT orders do not repeat, gross margin <50%, China/APAC disruption","1-2 quarters","base-building/pullback",Medium-High,"Valuation still high, order lumpiness, China/APAC exposure"
ONTO,process_control_HBM4_2p5D,262.25,"15% below high; below 20DMA; slightly above 50DMA","Core watch; small starter on pullback acceptable","245-260 near 50DMA; 225-235 deeper reset","Add if Q2 hits $330M high end or Q3 guide >$340M, G5/3Di follow-on orders appear","300-325 (+14% to +24%)","360-400 (+37% to +53%)","Close below 235 or failed 50DMA with weak Q3 guide","G5/3Di no follow-on, Rigaku/notes overhang without synergy, competitors take HBM/2.5D sockets","1-3 quarters","core watch/pullback",Medium,"Not hidden small-cap, capital structure complexity, lower purity than CAMT"
FORM,HBM_probe_cards_KGD,128.99,"17% below high; 5.5% above 50DMA","Selective only","115-122 near 50DMA; 100-110 deeper reset","Add after Q2 if HBM/probe revenue and guide accelerate","150-170 (+16% to +32%)","190-220 (+47% to +71%)","Close below 110 or Q2 guide failure","HBM/probe demand slows, DRAM cycle rolls over, customer concentration","1-2 quarters","selective",Medium,"AP/HBM theme historically entry-sensitive"
AEHR,AI_processor_silicon_photonics_burn_in,95.02,"11% below high; 34% above 50DMA; very extended from 52w low","No chase","78-85 first pullback; 68-72 near 50DMA","Add only after new hyperscaler or silicon photonics production order","115-130 (+21% to +37%)","160-190 (+68% to +100%)","Close below 75 without order news","Orders prove one-off, FY2027 bookings disappoint, customer concentration","Event-driven","speculative",Very High,"Order lumpiness, huge run, customer concentration"
KLIC,advanced_packaging_assembly_TCB,104.40,"52w high; 9% above 20DMA; 28% above 50DMA","No chase","92-98 near 20DMA; 80-86 near 50DMA","Add only if FTC/HBM/advanced packaging orders translate into guide raise","120-130 (+15% to +25%)","150-165 (+44% to +58%)","Close below 86 or failed 50DMA after weak guide","Traditional business drags, FTC/HBM orders weak, BESI/ASMPT competition","1-3 quarters","confirmation/pullback",Medium-High,"Cyclical legacy business, AI purity not high enough yet"
COHU,AI_HPC_GaN_test,46.53,"9% below high; near 20DMA; 17% above 50DMA","Small starter possible only if test order thesis accepted","42-45 first zone; 38-40 near 50DMA","Add if AI processor/GaN data-center test orders repeat or FY HPC outlook moves above $100M","55-60 (+18% to +29%)","70-80 (+50% to +72%)","Close below 39 or failed 50DMA","HPC/GaN orders are one-off, semi test cycle rolls over, margins disappoint","1-3 quarters","starter/confirmation",Medium,"AI purity lower, test cycle beta, order visibility"
NEO.TO,rare_earth_magnets_physical_AI,29.86,"9% below high; 18% above 50DMA","Only small option/watch","26-28 first zone; 23-25 near 50DMA","Add if Magnequench EBITDA improves and European magnet facility/customer contracts progress","34-38 (+14% to +27%)","45-55 (+51% to +84%)","Close below 24 or rare-earth/magnet thesis weakens","Magnequench stalls, rare-earth prices turn, debt/liquidity issues","2-6 quarters","option/starter",High,"Physical AI timing early, rare-earth commodity risk, Canada liquidity"
