ticker,theme,company,deep_dive_status,current_bucket,decision_grade,action_now,upgrade_trigger,downshift_trigger,core_positive,core_risk,next_file_needed
SMTC,optical_networking,Semtech,"Completed batch3; near-term event pending",High-conviction active,B+,"No chase before May 26; trade only after guide/revenue confirmation","Q1 FY2027 guide raise, 1.6T/3.2T data-center component revenue visibility, margin stability","Inline guide after parabolic run, Signal Integrity commentary weakens","FiberEdge/TIA/VCSEL driver exposure to 1.6T AI optics","Very extended; data-center mix not disclosed cleanly","Refresh after 2026-05-26 Q1 FY2027"
MTSI,optical_networking,MACOM,"Completed batch3; wait Q3 confirmation",High-conviction active,B+,"Wait pullback or Q3","> $339M Q3 revenue or strong Q4 guide, GM 59%-60%+", "Q3 below $331M or margin guide under 59%","448G/lane drivers and high-end analog for 1.6T/3.2T","Extended valuation, broad analog cycle","Refresh after Q3"
VECO,optical_networking,Veeco,"Completed batch3; strong upstream evidence",Core anchors,A-,"Starter only on pullback","Q2 >$190M or FY2026 guide >$800M; InP laser order conversion","Q2 < $170M, FY guide cut, InP orders delayed","$250M+ InP laser equipment orders; AI optical source capex","Order conversion timing and customer concentration","Refresh after Q2"
MXL,optical_networking,MaxLinear,"Completed decision-grade",High-conviction active,B,"Event/pullback only","Optical DC revenue >$200M or Rushmore/Annapurna production socket","Q2 < $160M, Q3 guide weak, optical DC not raised","DSP/TIA/224G retimer transition","Parabolic valuation and customer opacity","Refresh after Q2"
FN,optical_networking,Fabrinet,"Batch deep dive; needs single-company bridge",Core anchors,A-,"No new buy until AI optical manufacturing mix is clearer","800G/1.6T manufacturing revenue and margin durability","Customer concentration or margin pressure","Strong optical manufacturing readthrough and historical backtest","Customer concentration; manufacturing multiple already high","FN_decision_grade_v1"
COHR,optical_networking,Coherent,"Anchor deep dive",Core anchors,B+,"Anchor only; wait valuation reset","AI datacom revenue, laser/CPO capacity, FCF improvement","Capex/FCF or non-AI weakness","Vertically integrated photonics platform","Large cap and already repriced","Anchor tracking note"
LITE,optical_networking,Lumentum,"Anchor deep dive",Core anchors,B+,"Anchor only; wait valuation reset","AI datacom/OCS/CPO revenue visibility and balance-sheet clarity","Supply allocation issue, customer concentration, valuation extreme","Laser/EML/OCS exposure to AI data centers","Very large move; convertible/preferred complexity","Anchor tracking note"
AXTI,optical_networking,AXT,"Completed expansion deep dive; re-rating risk high",Cold high-upside options,B-,"Preserve; no chase","Export/license/Tongmei risk improves; InP volume revenue confirms","Geopolitical/export risk worsens or volume disappoints","InP/GaAs substrate bottleneck","Extreme re-rating, China/Tongmei risk","Milestone refresh after Q2/Q3"
AIXA.DE,optical_networking,AIXTRON,"Completed expansion deep dive; optical equipment candidate",Cold high-upside options,B,"Do not chase; pullback/confirmation only","AI datacom/InP MOCVD backlog disclosure and guide raise","Orders remain broad compound semi without AI split","MOCVD lever to InP/GaAs laser capacity","Cycle/customer concentration","Refresh after Q2/Q3 order intake"
IQE.L,optical_networking,IQE,"Completed expansion deep dive; strategic review risk",Cold high-upside options,C+,"Watch only","Datacom photonics orders and cash runway secured","Balance sheet weakens, no AI/datacom order proof","Compound semi epi upstream optionality","Balance sheet and customer concentration","Refresh after strategic review"
